"numero","slug","prompt"
"11","tijara-littullab","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a student desk with a golden graduation cap, books, and a glowing laptop showing an online store with sales notifications and gold coins. Large gold Arabic headline: 'ساعتان يومياً تكفيان'. Small gold badge: 'دليل 2026'."
"12","tadawol-am-tijara-electroniya","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left a chaotic red crashing candlestick trading chart, right a stable rising green e-commerce chart with a glowing store, gold 'VS'. Large gold Arabic headline: 'أين يخسر أغلب الناس أموالهم؟'. Small gold badge: 'دليل 2026'."
"13","takalif-khafiya-fi-tijara","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a massive iceberg: small visible tip above water, a huge hidden mass below glowing with cost tags (ads, shipping, fees, apps), deep underwater mood. Large gold Arabic headline: 'ما لا يخبرك به أحد'. Small gold badge: 'دليل 2026'."
"14","alhamas-azzaid-thumma-alistislam","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a red hype-then-crash curve plunging on one side, opposed by a steady glowing golden staircase climbing up, a small figure silhouette climbing it. Large gold Arabic headline: 'السر ليس الحماس'. Small gold badge: 'دليل 2026'."
"15","fiverr-am-baye-almontajat","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left a freelancer gig screen chained to a ticking clock, right an automated store selling alone at night with sale popups, gold 'VS'. Large gold Arabic headline: 'اربح وأنت نائم'. Small gold badge: 'دليل 2026'."
"16","addafe-aind-alistilam-cod","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a doorstep delivery moment, hands exchanging a package and cash banknotes, a glowing 'COD' gold badge, faint North-Africa map glowing behind. Large gold Arabic headline: 'ملك المغرب العربي'. Small gold badge: 'دليل 2026'."
"17","dawrat-youtube-am-takwin-madfue","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left a messy chaotic pile of scattered video thumbnails, right one clean structured golden course roadmap with numbered steps, gold 'VS'. Large gold Arabic headline: 'المجاني قد يكلفك أكثر'. Small gold badge: 'دليل 2026'."
"18","freelance-am-tijara","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left a tired laptop with an hourly clock and endless task list, right a store with passive sales raining as gold coins, gold 'VS'. Large gold Arabic headline: 'دخل بلا سقف'. Small gold badge: 'دليل 2026'."
"19","alaumlat-arraqamiya-am-bizns","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left volatile crypto coins on a jagged risky red chart, right a solid stable glowing online store on steady green growth, gold 'VS'. Large gold Arabic headline: 'استثمر فيما تتحكم فيه'. Small gold badge: 'دليل 2026'."
"20","alfarq-dropshipping-wa-tijara","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a split diagram: left a dropshipping flow with no inventory (supplier ships straight to customer), right a store with its own stocked warehouse, golden divider. Large gold Arabic headline: 'الفرق يغيّر كل شيء'. Small gold badge: 'دليل 2026'."
"21","youtube-am-tijara","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left a glowing play button with a camera and rising view counters, right an online store with cash register and sales, gold 'VS'. Large gold Arabic headline: 'من يربح أسرع؟'. Small gold badge: 'دليل 2026'."
"22","kharitat-attariq-lil-mobtadi","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden winding road across a dark landscape with numbered milestone flags, ending at a radiant treasure chest beside a glowing store. Large gold Arabic headline: 'من الصفر إلى أول بيع'. Small gold badge: 'دليل 2026'."
"23","khittat-12-shahr","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an ascending 12-step timeline path with month markers climbing from a dim '0' to a glowing established business skyline at the top. Large gold Arabic headline: 'شهر بشهر حتى الاستقرار'. Small gold badge: 'دليل 2026'."
"24","khittat-amal-matjar-90-yawm","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a giant glowing gold '90' over a calendar roadmap with milestone checkpoints and a golden checklist leading to a launching rocket store. Large gold Arabic headline: '90 يوماً تكفي للانطلاق'. Small gold badge: 'دليل 2026'."
"25","fashal-matjari-alawal-oied-am-astaslim","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a fallen broken grey store on the left, a golden phoenix-like arrow rising from its ashes into a brand-new glowing store on the right. Large gold Arabic headline: 'الفشل الأول ليس النهاية'. Small gold badge: 'دليل 2026'."
"26","qissat-najah-muwathaqa-talib","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a golden graduation cap next to a glowing earnings dashboard and a trophy, gold confetti falling, books stacked under a laptop. Large gold Arabic headline: 'بدأ من غرفة نومه'. Small gold badge: 'دليل 2026'."
"27","qisas-najah-arab-fi-tijara-electroniya","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: several glowing earnings dashboards and golden trophies floating over a faintly glowing map of the Arab world, big success numbers shining. Large gold Arabic headline: 'أرقام حقيقية موثقة'. Small gold badge: 'دليل 2026'."
"28","kam-ahtaj-min-almal-lilbidaya","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a modest stack of coins and a few banknotes under a giant glowing golden question mark, a small balance scale beside them. Large gold Arabic headline: 'أقل مما تتخيل'. Small gold badge: 'دليل 2026'."
"29","kam-taklifat-inshaa-matjar-electroni","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing online store beside a big golden price tag and a calculator displaying a budget breakdown, neat stacks of coins. Large gold Arabic headline: 'ابتداءً من 300€ فقط'. Small gold badge: 'دليل 2026'."
"30","kam-ras-mal-dropshipping-saghir","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a small pile of coins feeding a compact glowing dropshipping flow from supplier icon to customer icon, small-budget cozy mood. Large gold Arabic headline: 'ابدأ بأقل من 500€'. Small gold badge: 'دليل 2026'."
"31","kam-saaa-fi-alyawm","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a large glowing golden clock face merged with a laptop showing a store, an hourglass beside it, time-management mood. Large gold Arabic headline: 'ساعتان تكفيان للبداية'. Small gold badge: 'دليل 2026'."
"32","kam-min-alwaqt-li-awwal-nataij","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a golden hourglass with sand turning into tiny gold coins at the bottom, a small sprouting plant and a first-sale notification spark. Large gold Arabic headline: 'أول بيع خلال 30 يوماً؟'. Small gold badge: 'دليل 2026'."
"33","kam-yarbah-ashab-almatajir","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: stacks and flying bundles of cash and gold coins around a glowing '$12,000' figure, an upward green money graph, a premium leather wallet. Large gold Arabic headline: '$12,000 شهرياً؟!'. Small gold badge: 'دليل 2026'."
"34","kam-yastaghriq-3000-euro","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden staircase climbing through months toward a bright milestone sign reading '€3,000', a timeline ruler below. Large gold Arabic headline: 'كم شهراً حتى 3000€؟'. Small gold badge: 'دليل 2026'."
"35","tijara-electroniya-fi-aljazair","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: an Algeria flag accent with the Maqam Echahid monument silhouette, a glowing Shopify dashboard with rising green chart and gold coins. Large gold Arabic headline: 'السوق الجزائري يستيقظ'. Small gold badge: 'دليل 2026'."
"36","tijara-electroniya-fi-almaghrib","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a Morocco flag accent with a Moroccan arch and Koutoubia silhouette, a glowing sales dashboard, a COD package handed at a door, gold coins. Large gold Arabic headline: 'COD يفتح لك الباب'. Small gold badge: 'دليل 2026'."
"37","kayfa-abda-tijara-electroniya-min-sifr","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden 9-step staircase rising from a dim '0' to a bright store at the top, a big gold '9' floating. Large gold Arabic headline: '9 خطوات فقط'. Small gold badge: 'دليل 2026'."
"38","kayfa-abda-wa-ana-khaif","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden hand pushing through a dark cracked wall of fear toward a bright thriving store shining on the other side, no face. Large gold Arabic headline: 'الخوف لا يدفع الفواتير'. Small gold badge: 'دليل 2026'."
"39","kayfa-abda-mizaniya-saghira-90-yawm","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a single glowing gold coin planted as a seed growing into a large golden money tree sheltering a small thriving store. Large gold Arabic headline: 'من بذرة إلى شجرة ذهب'. Small gold badge: 'دليل 2026'."
"40","tijara-electroniya-fi-alimarat","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a UAE flag accent with the Burj Khalifa silhouette glowing gold, a floating sales dashboard with a rising chart and gold coins. Large gold Arabic headline: 'بوابة الخليج الذهبية'. Small gold badge: 'دليل 2026'."
"41","kayfa-abni-marka-khassa","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a plain grey generic product on the left transforming mid-air into a premium branded product with a glowing golden logo and crown on the right. Large gold Arabic headline: 'توقف عن بيع العام'. Small gold badge: 'دليل 2026'."
"42","kayfa-ataamal-mae-almuwaridin","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a negotiation table with a golden handshake between merchant and supplier, price tags being cut with golden scissors, a shipping crate behind. Large gold Arabic headline: 'خصم 30% بالتفاوض'. Small gold badge: 'دليل 2026'."
"43","kayfa-ataallam-tijara-min-albayt","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a cozy warm home desk at night, a glowing laptop streaming an e-commerce lesson, coffee cup, notebooks, golden learning glow. Large gold Arabic headline: 'بيتك هو جامعتك'. Small gold badge: 'دليل 2026'."
"44","kayfa-ajal-matjari-mutawafiq-charia","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing online store with a large green check mark and a subtle golden crescent above it, respectful tasteful soft golden light. Large gold Arabic headline: 'اربح بضمير مرتاح'. Small gold badge: 'دليل 2026'."
"45","kayfa-ahmi-markati-min-annaskh","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing brand logo protected behind a large golden shield, grey copycat hands and clone products bouncing off the shield. Large gold Arabic headline: 'النسخ يطاردك… احمِ ماركتك'. Small gold badge: 'دليل 2026'."
"46","kayfa-ohawil-dropshipping-ila-marka","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a plain unbranded cardboard box on the left morphing along a golden upgrade arrow into a premium branded product with a crown on the right. Large gold Arabic headline: 'الترقية التي تضاعف الأرباح'. Small gold badge: 'دليل 2026'."
"47","kayfa-ohawil-matjari-marka-bimalayin","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a tiny store at the bottom evolving into a glowing golden business empire skyline with a radiant '$1M+' figure and ascending arrow. Large gold Arabic headline: 'من متجر صغير إلى $1M'. Small gold badge: 'دليل 2026'."
"48","kayfa-akhtar-niche-munasib","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden dartboard surrounded by floating niche icons, one golden dart striking the bullseye with a burst of light. Large gold Arabic headline: 'النيش الخطأ = خسارة مضمونة'. Small gold badge: 'دليل 2026'."
"49","kayfa-arbah-bidun-mawqie","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing smartphone selling through social media chats with sale notifications popping, a faded crossed-out website icon behind it. Large gold Arabic headline: 'هاتفك يكفي'. Small gold badge: 'دليل 2026'."
"50","kayfa-osaeir-montajati","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: golden price tags and a calculator on a balance scale weighing cost versus profit, a glowing product in a spotlight. Large gold Arabic headline: 'السعر الخطأ يقتل الربح'. Small gold badge: 'دليل 2026'."
"51","kayfa-oied-istithmar-arbahi","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: gold coins flowing in a loop back into a growing golden money tree, a golden snowball rolling bigger down a dark slope, loop arrows. Large gold Arabic headline: 'كرة الثلج الذهبية'. Small gold badge: 'دليل 2026'."
"52","kayfa-oqallil-talabat-marfuda-cod","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: two doorstep deliveries side by side: one package rejected with a red X, one accepted with a green check, a glowing 'COD' badge between. Large gold Arabic headline: 'وداعاً للطلبات المرفوضة'. Small gold badge: 'دليل 2026'."
"53","kayfa-ozawie-mizaniyat-500-euro","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden pie chart splitting a bright '€500' into labeled segments (store, ads, product), coins arranged around it. Large gold Arabic headline: 'كل يورو في مكانه الصحيح'. Small gold badge: 'دليل 2026'."
"54","kayfa-takhtar-dawrat-tijara-electroniya","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a large golden magnifier inspecting floating course cards, a checklist with green checks, one course card glowing as the right pick. Large gold Arabic headline: 'لا تدفع قبل هذه المعايير'. Small gold badge: 'دليل 2026'."
